DealerID,DealerName,DealerLatitude,DealerLongitude,DealerEmail,DealerAvgRatingOutOf5,NumberOfPeopleRated
103,Hardin Buick GMC,28.9814011,77.3702517,bitbattle2018@mykaarma.com,4.05,732
169,Mark Miller Subaru South Towne,29.05406,77.2668224,bitbattle2018@mykaarma.com,4.77,558
170,Mark Miller Subaru Midtown,28.4314087,77.4624978,bitbattle2018@mykaarma.com,2.69,496
172,South Bay Lexus of Torrance,28.223891,76.0735005,bitbattle2018@mykaarma.com,4.14,703
178,Roush Honda,29.1244779,76.8952379,bitbattle2018@mykaarma.com,3.62,128
215,Green Lincoln Mazda,28.1659687,76.8048829,bitbattle2018@mykaarma.com,4.68,234
216,Green Toyota Scion Volkswagen Audi,28.6970035,77.1809397,bitbattle2018@mykaarma.com,2.53,686
217,Green Nissan,28.2147352,76.7352023,bitbattle2018@mykaarma.com,4.62,827
218,Green Hyundai,28.1823495,76.2260955,bitbattle2018@mykaarma.com,4.49,177
219,Green Dodge Kia Subaru,28.0299118,76.1019564,bitbattle2018@mykaarma.com,3.6,104
226,Mercedes-Benz of Gainesville,28.4685204,76.4545806,bitbattle2018@mykaarma.com,3.54,793
256,Alderson European Motorcars - Midland,28.6680222,76.791173,bitbattle2018@mykaarma.com,4.9,848
257,Alderson European Motorcars - Lubbock,27.7204544,77.7018089,bitbattle2018@mykaarma.com,3.88,862
271,Winner Ford of Cherry Hill,28.4663094,76.7846396,bitbattle2018@mykaarma.com,2.68,765
278,Mercedes-Benz of St Clair Shores,28.2703759,77.7710818,bitbattle2018@mykaarma.com,3.77,238
301,Mercedes-Benz of Columbus,28.3206206,76.5159364,bitbattle2018@mykaarma.com,4.83,597
302,Napleton Autowerks of Bourbonnais,27.8011812,76.4601906,bitbattle2018@mykaarma.com,2.84,370
304,Napleton's Autowerks Schererville,28.2968101,76.1692242,bitbattle2018@mykaarma.com,4.69,859
305,Napleton Auto Group,27.5979521,77.1944782,bitbattle2018@mykaarma.com,4.94,385
323,Mercedes-Benz of Fayetteville,27.7551347,77.0578827,bitbattle2018@mykaarma.com,2.61,149
355,Mercedes-Benz of Shrewsbury,27.9525747,76.4662069,bitbattle2018@mykaarma.com,4.24,391
367,Mercedes-Benz of Portsmouth,28.5009841,77.6749736,bitbattle2018@mykaarma.com,4.36,507
368,Holloway Motor Cars Manchester,28.9011181,77.387443,bitbattle2018@mykaarma.com,4.08,360
374,Mercedes-Benz of Arrowhead,28.4115449,76.1864554,bitbattle2018@mykaarma.com,4.3,182
386,Mercedes-Benz of Rochester - MN,29.0882787,77.3064823,bitbattle2018@mykaarma.com,4.3,630
412,Mercedes-Benz of Laredo,28.4732146,76.3705267,bitbattle2018@mykaarma.com,3.58,701
413,Coppus Motors,28.1929428,76.5301458,bitbattle2018@mykaarma.com,2.99,615
42,Hoffman Lexus,29.0476649,76.7282226,bitbattle2018@mykaarma.com,3.79,832
435,Mercedes-Benz of Tucson,28.2307168,77.0764233,bitbattle2018@mykaarma.com,2.2,875
437,Mercedes-Benz of Scottsdale,27.7523527,77.2060046,bitbattle2018@mykaarma.com,4.04,627
443,Pueblo Dodge Chrysler Jeep,28.4629128,76.5642552,bitbattle2018@mykaarma.com,3.59,409
466,John Hine Mazda,28.2628655,77.0991825,bitbattle2018@mykaarma.com,3.84,968
518,DealerTrack TEST,28.5864284,77.5735122,bitbattle2018@mykaarma.com,2.43,810
54,myKaarma Dealership,28.9266278,77.2276862,bitbattle2018@mykaarma.com,4.59,217
546,Alderson Lexus,27.45416,76.956451,bitbattle2018@mykaarma.com,2.64,147
547,Alderson BMW,27.711321,77.0741248,bitbattle2018@mykaarma.com,3.92,907
548,Alderson Cadillac,28.517423,77.6797912,bitbattle2018@mykaarma.com,4.65,391
573,P & W BMW MINI,28.7226684,77.3853284,bitbattle2018@mykaarma.com,2.5,936
582,Ted Russell Ford / Lincoln Kingston Pike,27.4855361,77.0121178,bitbattle2018@mykaarma.com,4.56,704
583,Ted Russell Ford/ Lincoln/ Isuzu Parkside,28.1131863,76.515397,bitbattle2018@mykaarma.com,2.29,614
59,Hoffman Porsche,27.6597181,77.2146587,bitbattle2018@mykaarma.com,2.59,290
604,BMW of Watertown,28.5947272,76.9904781,bitbattle2018@mykaarma.com,4.78,856
628,Route 18 Chrysler Jeep Dodge Ram,28.013869,76.7192475,bitbattle2018@mykaarma.com,3.04,539
652,MBUSA Engineering Center,27.4065577,77.1155135,bitbattle2018@mykaarma.com,2.85,928
674,Freedom Jeep Chrysler,28.9032362,77.0275023,bitbattle2018@mykaarma.com,3.13,220
675,Dodge Country,28.2902902,76.8667608,bitbattle2018@mykaarma.com,4.11,918
688,Yochum CDJR,28.9763523,76.8429041,bitbattle2018@mykaarma.com,2.14,228
690,Ted Russell Nissan,28.9206642,76.9366328,bitbattle2018@mykaarma.com,4.38,987
691,Pueblo Toyota,28.1247489,77.2662005,bitbattle2018@mykaarma.com,2.5,551
698,Mercedes-Benz of St. George,28.4096229,76.2401251,bitbattle2018@mykaarma.com,2.35,593
709,Acura Columbus,28.3619848,77.1904744,bitbattle2018@mykaarma.com,2.24,314
724,Klein Honda,29.1193079,76.9059293,bitbattle2018@mykaarma.com,2.15,591
729,Audi Annapolis,27.4765354,77.1165824,bitbattle2018@mykaarma.com,2.04,113
730,Audi Lubbock,28.2055022,77.3767003,bitbattle2018@mykaarma.com,4.75,495
738,Critz Auto Group ,28.5542059,76.8113496,bitbattle2018@mykaarma.com,4.62,233
739,Critz BMW ,28.6312483,77.4932014,bitbattle2018@mykaarma.com,3.85,482
771,BMW Cleveland,28.0756191,77.6101295,bitbattle2018@mykaarma.com,3.37,711
772,Jaguar Land Rover Solon,28.5155374,77.7723293,bitbattle2018@mykaarma.com,3.33,209
783,Hoffman Nissan,27.6155099,77.5176773,bitbattle2018@mykaarma.com,4.54,614
784,Hoffman Toyota,28.6492995,76.6749749,bitbattle2018@mykaarma.com,2.72,540
785,Hoffman Honda,28.095218,77.2080559,bitbattle2018@mykaarma.com,4.97,757
793,Grayson BMW,28.0667408,77.3994523,bitbattle2018@mykaarma.com,3.68,265
794,Grayson Hyundai/Subaru,27.846425,77.6467911,bitbattle2018@mykaarma.com,2.49,756
803,Hoffman Ford Lincoln,27.6964492,76.2288733,bitbattle2018@mykaarma.com,3.43,184
849,Subaru of Bend,29.0654587,77.0219136,bitbattle2018@mykaarma.com,3.65,355
883,Winslow BMW of Colorado Springs,28.3170243,77.4187068,bitbattle2018@mykaarma.com,4.97,220
890,Flag Chevrolet,28.7439967,77.0850702,bitbattle2018@mykaarma.com,4.89,836
891,Cadillac of Naperville,27.764102,76.3779998,bitbattle2018@mykaarma.com,4.55,718
896,Honda Lancaster,27.4491787,76.9991802,bitbattle2018@mykaarma.com,2.07,985
93,Hoffman Audi Hartford,27.8559808,76.723967,bitbattle2018@mykaarma.com,2.16,701
960,Heritage Cadillac,28.8296624,77.279509,bitbattle2018@mykaarma.com,2.73,867
983,Porsche Nashua,28.3151426,76.1224796,bitbattle2018@mykaarma.com,4.41,379
984,Audi Nashua,28.8283026,77.2812854,bitbattle2018@mykaarma.com,4.87,997
1029,CJDR of Tuscaloosa,28.8419196,76.4625727,bitbattle2018@mykaarma.com,2.1,143
