DealerID,DealerName,DealerLatitude,DealerLongitude,DealerEmail,DealerAvgRatingOutOf5,NumberOfPeopleRated
103,Hardin Buick GMC,25.9814011,83.3702517,bitbattle2018@mykaarma.com,4.05,732
169,Mark Miller Subaru South Towne,26.05406,83.2668224,bitbattle2018@mykaarma.com,4.77,558
170,Mark Miller Subaru Midtown,25.4314087,83.4624978,bitbattle2018@mykaarma.com,2.69,496
172,South Bay Lexus of Torrance,25.223891,82.0735005,bitbattle2018@mykaarma.com,4.14,703
178,Roush Honda,26.1244779,82.8952379,bitbattle2018@mykaarma.com,3.62,128
215,Green Lincoln Mazda,25.1659687,82.8048829,bitbattle2018@mykaarma.com,4.68,234
216,Green Toyota Scion Volkswagen Audi,25.6970035,83.1809397,bitbattle2018@mykaarma.com,2.53,686
217,Green Nissan,25.2147352,82.7352023,bitbattle2018@mykaarma.com,4.62,827
218,Green Hyundai,25.1823495,82.2260955,bitbattle2018@mykaarma.com,4.49,177
219,Green Dodge Kia Subaru,25.0299118,82.1019564,bitbattle2018@mykaarma.com,3.6,104
226,Mercedes-Benz of Gainesville,25.4685204,82.4545806,bitbattle2018@mykaarma.com,3.54,793
256,Alderson European Motorcars - Midland,25.6680222,82.791173,bitbattle2018@mykaarma.com,4.9,848
257,Alderson European Motorcars - Lubbock,24.7204544,83.7018089,bitbattle2018@mykaarma.com,3.88,862
271,Winner Ford of Cherry Hill,25.4663094,82.7846396,bitbattle2018@mykaarma.com,2.68,765
278,Mercedes-Benz of St Clair Shores,25.2703759,83.7710818,bitbattle2018@mykaarma.com,3.77,238
301,Mercedes-Benz of Columbus,25.3206206,82.5159364,bitbattle2018@mykaarma.com,4.83,597
302,Napleton Autowerks of Bourbonnais,24.8011812,82.4601906,bitbattle2018@mykaarma.com,2.84,370
304,Napleton's Autowerks Schererville,25.2968101,82.1692242,bitbattle2018@mykaarma.com,4.69,859
305,Napleton Auto Group,24.5979521,83.1944782,bitbattle2018@mykaarma.com,4.94,385
323,Mercedes-Benz of Fayetteville,24.7551347,83.0578827,bitbattle2018@mykaarma.com,2.61,149
355,Mercedes-Benz of Shrewsbury,24.9525747,82.4662069,bitbattle2018@mykaarma.com,4.24,391
367,Mercedes-Benz of Portsmouth,25.5009841,83.6749736,bitbattle2018@mykaarma.com,4.36,507
368,Holloway Motor Cars Manchester,25.9011181,83.387443,bitbattle2018@mykaarma.com,4.08,360
374,Mercedes-Benz of Arrowhead,25.4115449,82.1864554,bitbattle2018@mykaarma.com,4.3,182
386,Mercedes-Benz of Rochester - MN,26.0882787,83.3064823,bitbattle2018@mykaarma.com,4.3,630
412,Mercedes-Benz of Laredo,25.4732146,82.3705267,bitbattle2018@mykaarma.com,3.58,701
413,Coppus Motors,25.1929428,82.5301458,bitbattle2018@mykaarma.com,2.99,615
42,Hoffman Lexus,26.0476649,82.7282226,bitbattle2018@mykaarma.com,3.79,832
435,Mercedes-Benz of Tucson,25.2307168,83.0764233,bitbattle2018@mykaarma.com,2.2,875
437,Mercedes-Benz of Scottsdale,24.7523527,83.2060046,bitbattle2018@mykaarma.com,4.04,627
443,Pueblo Dodge Chrysler Jeep,25.4629128,82.5642552,bitbattle2018@mykaarma.com,3.59,409
466,John Hine Mazda,25.2628655,83.0991825,bitbattle2018@mykaarma.com,3.84,968
518,DealerTrack TEST,25.5864284,83.5735122,bitbattle2018@mykaarma.com,2.43,810
54,myKaarma Dealership,25.9266278,83.2276862,bitbattle2018@mykaarma.com,4.59,217
546,Alderson Lexus,24.45416,82.956451,bitbattle2018@mykaarma.com,2.64,147
547,Alderson BMW,24.711321,83.0741248,bitbattle2018@mykaarma.com,3.92,907
548,Alderson Cadillac,25.517423,83.6797912,bitbattle2018@mykaarma.com,4.65,391
573,P & W BMW MINI,25.7226684,83.3853284,bitbattle2018@mykaarma.com,2.5,936
582,Ted Russell Ford / Lincoln Kingston Pike,24.4855361,83.0121178,bitbattle2018@mykaarma.com,4.56,704
