MakeModelID,Make,Model
1,Buick,ENCLAVE
2,GMC,TERRAIN
3,Chevrolet,SILVERADO 2500HD
4,GMC,Acadia
5,GMC,ACADIA
6,GMC,YUKON
7,GMC,SIERRA 1500
8,Buick,LaCrosse
9,Buick,VERANO
10,Buick,LACROSSE
11,GMC,YUKON XL
12,Chevrolet,MALIBU
13,Chevrolet,SUBURBAN
14,GMC,SIERRA 2500HD
15,Buick,REGAL
16,Chevrolet,EQUINOX
17,GMC,YUKON DENALI
18,Chevrolet,CRUZE
19,GMC,Terrain
20,Buick,ENCORE
21,Chevrolet,SONIC
22,GMC,Yukon Denali
23,Buick,Regal
24,Chevrolet,TAHOE
25,Chevrolet,TRAVERSE
26,Chevrolet,Equinox
27,GMC,Savana
28,Buick,LUCERNE
29,Chevrolet,SILVERADO 1500
30,Buick,Verano
31,Chevrolet,IMPALA
32,GMC,SIERRA 3500HD
33,Chevrolet,Impala
34,GMC,CANYON
35,Buick,Enclave
36,Chevrolet,Silverado 2500HD
37,GMC,Sierra 2500HD
38,GMC,Yukon
39,GMC,Canyon
40,GMC,Sierra 1500
41,GMC,Yukon XL
42,Chevrolet,Traverse
43,Chevrolet,CAMARO
44,Subaru,XV CROSSTREK
45,Subaru,FORESTER 2.5X
46,Subaru,FORESTER
47,Subaru,OUTBACK 2.5I
48,Subaru,FORESTER 2.5I
49,Subaru,OUTBACK
50,Subaru,CROSSTREK
51,Subaru,LEGACY
52,Hyundai,VELOSTER
53,Subaru,IMPREZA
54,Subaru,Impreza
55,Nissan,ROGUE
56,Subaru,Forester
57,Subaru,XV CROSSTREK HYBRID
58,GMC,Sierra Hybrid
59,Subaru,Legacy
60,Subaru,OUTBACK 2.5I PREM
61,Subaru,IMPREZA 2.0I
62,Subaru,IMPREZA WRX STI
63,Subaru,LEGACY 2.5I
64,Subaru,TRIBECA
65,Subaru,IMPREZA WAGON
66,Mitsubishi,LANCER
67,Subaru,LEGACY 2.5GT PREM
68,Subaru,FORESTER 2.5XT
69,Subaru,IMPREZA 2.5I
70,Subaru,OUTBACK 2.5I LTD
71,Subaru,FORESTER 2.0XT
72,Subaru,IMPREZA-4 CYL. WAGON 5D I
73,Subaru,IMPREZA SEDAN
74,Ford,FOCUS
75,Subaru,LEGACY 2.5I LTD
76,Subaru,LEGACY 3.6R
77,Subaru,OUTBACK 3.6R LTD
78,Subaru,OUTBACK 3.6R
79,Subaru,CROSSTREK HYBRID
80,Subaru,IMPREZA WRX
81,Subaru,Outback
82,Subaru,LEGACY 2.5I PREM
83,Subaru,WRX
84,Honda,PILOT
85,Subaru,XV Crosstrek
86,Scion,TC
87,Subaru,IMPREZA 2.0I SPORT PREM
88,Toyota,TACOMA
89,Honda,Odyssey
90,Honda,ODYSSEY EXL
91,Honda,FIT SPORT
92,Honda,Civic
93,Honda,CIVIC
94,Honda,CRV AWD EXLN
95,Honda,ODYSSEY
96,Honda,PILOT TRG
97,Honda,ACCORD
98,Honda,CRV EXL
99,Honda,INSIGHT
100,Honda,ODY EXLRES
101,Honda,Cr-V
102,Honda,ODYSSEY EXL NAV
103,Honda,CRV 2WD EX
104,Honda,FIT NAVI
105,Honda,Accord
106,Honda,ACCORD EX
107,Honda,Accord Crosstour
108,Honda,CRV AWD LX
109,Chevrolet,Camaro
110,Honda,FIT
111,Honda,ACCORD LX
112,Honda,Civic LX
113,Honda,CIVIC COUPE SI
114,Honda,PILOT 4WD LX
115,Honda,PILOT EXL
116,Honda,INSIGHT LX
117,Honda,PILOT 4WD EXL
118,Honda,CR-V
119,Honda,PILOT EXVL
120,Honda,ACCORD SPORT
121,Honda,Pilot Exl
122,Honda,Element
123,Honda,ODYSSEY EXLN
124,Honda,ODYSSEY EX
125,Honda,ACCORD EXLV6NV
126,Honda,ACCORD EX L
127,Honda,ACCORD CROSSTOUR EXL
128,Honda,CRV AWD EXL
129,Honda,FIT BASE
130,Honda,CR-V 4WD SE
131,Honda,ACCORD COUPE EXLV6
132,Honda,Fit
133,Honda,ODYSSEY EX-L RES
134,Honda,ACCORD EX-L
135,Subaru,BRZ
136,Honda,RIDGELINE RTL SE
137,Honda,PILOT EX
138,Honda,PILOT LX
139,Honda,CIVIC HYBRID
140,Honda,Civic EXL NAV
141,Honda,ODYSSEY TRG ELIT
142,Honda,ACCORD TRG
143,Honda,CIVIC EX
144,Honda,Pilot
145,Honda,CIVIC SI
146,Honda,PILOT 4WD TOURING
147,Honda,ACCORD EX-LV6
148,Subaru,OUTBACK 2.5I PREMIUM
149,Honda,ACCORD EXVL
150,Subaru,CROSS HYB
151,Honda,CRV AWD EX
152,Honda,RIDGELINE
153,Honda,ACCORD EXL
154,Honda,CRV 4WD EX
155,Honda,Ridgeline
156,Honda,PILOT 4WD EX
157,Honda,CIVIC EXL-N
158,Honda,RIDGELINE RTL
159,Subaru,CROSSTREK 2.0I
160,Honda,ACCORD LX P
161,Honda,CIVIC LX
162,Subaru,IMPREZA 2.0I PREMIUM
