1,Buick,ENCLAVE
2,GMC,TERRAIN
3,Chevrolet,SILVERADO 2500HD
4,GMC,Acadia
5,GMC,ACADIA
6,GMC,YUKON
7,GMC,SIERRA 1500
8,Buick,LaCrosse
7,GMC,SIERRA 1500
7,GMC,SIERRA 1500
7,GMC,SIERRA 1500
5,GMC,ACADIA
6,GMC,YUKON
6,GMC,YUKON
1,Buick,ENCLAVE
1,Buick,ENCLAVE
9,Buick,VERANO
1,Buick,ENCLAVE
6,GMC,YUKON
10,Buick,LACROSSE
11,GMC,YUKON XL
10,Buick,LACROSSE
12,Chevrolet,MALIBU
9,Buick,VERANO
10,Buick,LACROSSE
5,GMC,ACADIA
13,Chevrolet,SUBURBAN
14,GMC,SIERRA 2500HD
5,GMC,ACADIA
15,Buick,REGAL
2,GMC,TERRAIN
1,Buick,ENCLAVE
10,Buick,LACROSSE
2,GMC,TERRAIN
5,GMC,ACADIA
5,GMC,ACADIA
7,GMC,SIERRA 1500
16,Chevrolet,EQUINOX
10,Buick,LACROSSE
7,GMC,SIERRA 1500
5,GMC,ACADIA
17,GMC,YUKON DENALI
18,Chevrolet,CRUZE
5,GMC,ACADIA
6,GMC,YUKON
7,GMC,SIERRA 1500
10,Buick,LACROSSE
19,GMC,Terrain
5,GMC,ACADIA
5,GMC,ACADIA
7,GMC,SIERRA 1500
9,Buick,VERANO
10,Buick,LACROSSE
5,GMC,ACADIA
2,GMC,TERRAIN
7,GMC,SIERRA 1500
20,Buick,ENCORE
5,GMC,ACADIA
6,GMC,YUKON
1,Buick,ENCLAVE
9,Buick,VERANO
5,GMC,ACADIA
6,GMC,YUKON
7,GMC,SIERRA 1500
10,Buick,LACROSSE
6,GMC,YUKON
21,Chevrolet,SONIC
7,GMC,SIERRA 1500
2,GMC,TERRAIN
7,GMC,SIERRA 1500
7,GMC,SIERRA 1500
3,Chevrolet,SILVERADO 2500HD
22,GMC,Yukon Denali
1,Buick,ENCLAVE
2,GMC,TERRAIN
9,Buick,VERANO
7,GMC,SIERRA 1500
9,Buick,VERANO
22,GMC,Yukon Denali
23,Buick,Regal
10,Buick,LACROSSE
2,GMC,TERRAIN
1,Buick,ENCLAVE
2,GMC,TERRAIN
24,Chevrolet,TAHOE
10,Buick,LACROSSE
14,GMC,SIERRA 2500HD
24,Chevrolet,TAHOE
1,Buick,ENCLAVE
25,Chevrolet,TRAVERSE
1,Buick,ENCLAVE
2,GMC,TERRAIN
14,GMC,SIERRA 2500HD
9,Buick,VERANO
26,Chevrolet,Equinox
5,GMC,ACADIA
5,GMC,ACADIA
5,GMC,ACADIA
7,GMC,SIERRA 1500
27,GMC,Savana
28,Buick,LUCERNE
14,GMC,SIERRA 2500HD
2,GMC,TERRAIN
2,GMC,TERRAIN
18,Chevrolet,CRUZE
1,Buick,ENCLAVE
22,GMC,Yukon Denali
7,GMC,SIERRA 1500
2,GMC,TERRAIN
7,GMC,SIERRA 1500
5,GMC,ACADIA
7,GMC,SIERRA 1500
22,GMC,Yukon Denali
14,GMC,SIERRA 2500HD
7,GMC,SIERRA 1500
9,Buick,VERANO
29,Chevrolet,SILVERADO 1500
5,GMC,ACADIA
7,GMC,SIERRA 1500
20,Buick,ENCORE
5,GMC,ACADIA
5,GMC,ACADIA
30,Buick,Verano
6,GMC,YUKON
1,Buick,ENCLAVE
19,GMC,Terrain
22,GMC,Yukon Denali
5,GMC,ACADIA
7,GMC,SIERRA 1500
5,GMC,ACADIA
2,GMC,TERRAIN
5,GMC,ACADIA
2,GMC,TERRAIN
12,Chevrolet,MALIBU
7,GMC,SIERRA 1500
7,GMC,SIERRA 1500
1,Buick,ENCLAVE
2,GMC,TERRAIN
14,GMC,SIERRA 2500HD
2,GMC,TERRAIN
1,Buick,ENCLAVE
2,GMC,TERRAIN
2,GMC,TERRAIN
5,GMC,ACADIA
31,Chevrolet,IMPALA
2,GMC,TERRAIN
1,Buick,ENCLAVE
7,GMC,SIERRA 1500
1,Buick,ENCLAVE
2,GMC,TERRAIN
2,GMC,TERRAIN
1,Buick,ENCLAVE
2,GMC,TERRAIN
1,Buick,ENCLAVE
5,GMC,ACADIA
28,Buick,LUCERNE
7,GMC,SIERRA 1500
32,GMC,SIERRA 3500HD
7,GMC,SIERRA 1500
5,GMC,ACADIA
20,Buick,ENCORE
7,GMC,SIERRA 1500
14,GMC,SIERRA 2500HD
2,GMC,TERRAIN
10,Buick,LACROSSE
33,Chevrolet,Impala
7,GMC,SIERRA 1500
5,GMC,ACADIA
1,Buick,ENCLAVE
34,GMC,CANYON
2,GMC,TERRAIN
7,GMC,SIERRA 1500
10,Buick,LACROSSE
12,Chevrolet,MALIBU
24,Chevrolet,TAHOE
5,GMC,ACADIA
11,GMC,YUKON XL
5,GMC,ACADIA
35,Buick,Enclave
2,GMC,TERRAIN
7,GMC,SIERRA 1500
10,Buick,LACROSSE
2,GMC,TERRAIN
2,GMC,TERRAIN
1,Buick,ENCLAVE
1,Buick,ENCLAVE
2,GMC,TERRAIN
